zip_code,school_name,school_rating,grade_levels,percent_low_income
20187,C. Hunter Ritchie Elementary School,5.0,PK-5,13
24091,Floyd Elementary School,5.0,PK-7,52
24380,Willis Elementary School,5.0,PK-7,59
24088,Ferrum Elementary School,5.0,PK-5,78
24151,Sontag Elementary School,5.0,PK-5,85
22603,Apple Pie Ridge Elementary School,5.0,PK-5,48
24333,Galax Elementary School,5.0,PK-4,72
24134,Macy McClaugherty Elementary/Middle School,5.0,PK-7,55
24136,Eastern Elementary/Middle School,5.0,PK-7,48
22973,Nathanael Greene Elementary School,5.0,3-5,45
23015,Beaverdam Elementary School,5.0,PK-5,23
23111,Mechanicsville Elementary School,5.0,PK-5,44
23111,Cold Harbor Elementary School,5.0,PK-5,26
