zip_code,school_name,school_rating,grade_levels,percent_low_income
22963,Blue Ridge Gov. School,,Ungraded,
24422,Jackson River Gov. School,,Ungraded,
22903,Charlottesville Hosp. Ep.,,PK-12,
23298,Richmond Hospital Ep.,,PK-12,
24401,Ccca,,PK-12,
23507,Kings Daughters Hosp. Ep.,,PK-12,
23803,Central St. Hosp. Ed. Pr.,,PK-12,
23188,Eastern St. Hosp. Ed. Prg,,PK-12,
24354,Southwestern Va Mental Health Institute,,6-12,
24401,Western St. Hosp. Ed. Pr.,,PK-12,
24572,Central Va. Training Center,,PK-12,
22032,Northern Va. Tr. Center E.P,,PK-12,
23803,Southside Va Training Center,,PK-12,
22939,Woodrow Wilson Rehab Center,,PK-12,
23298,Virginia Treatment Center,,PK-12,
23320,Southeastern Va Tr Center Ep,,PK-12,
24381,Southwestern Va Tr Center Ep,,PK-12,
24293,Regional Learning Academy/Wise Co,,Ungraded,
24343,Carroll/Galax/Joy Ranch Reg Alternative Ed,,Ungraded,
24112,Breaking Barriers Alternative Ed/Henry Co,,Ungraded,
24401,Shenandoah Valley Reg Alternative Ed/Genesis,,Ungraded,
22572,Northern Neck Regional Alternative Ed,,Ungraded,
23930,Piedmont Alternative,,Ungraded,
24382,Regional Alternative/Wythe Co,,Ungraded,
24266,Project Bridge/Russell Co,,Ungraded,
22110,New Dominion Alt. Center/Prince William Co.,,Ungraded,
23086,Regional Alternative Ed/King William,,Ungraded,
23868,Southside L.I.N.K. Project/Brunswick Co,,Ungraded,
22405,Regional Alternative Ed/Stafford Co,,Ungraded,
23219,Metro Richmond Alternative Ed,,Ungraded,
24201,Crossroads Alternative/Bristol City,,Ungraded,
24251,Renaissance/Scott Co,,Ungraded,
23405,Project Renew/Northampton Co,,Ungraded,
22728,The Regional Community Alternative Ed Continuum,,Ungraded,
23139,Project Return/Powhatan Co,,Ungraded,
24540,Regional Alternative/Pittslvania Co,,Ungraded,
23803,Petersburg Regional Alternative,,Ungraded,
24073,Altern Ed Prgm/Behav Disord Youth/Montgomery,,Ungraded,
22963,Project Return/Fluvanna Co,,Ungraded,
22042,Transition Support Resource Center/Fairfax,,Ungraded,
24012,Reg Alternative Plus Self Project/Roanoke City,,Ungraded,
23502,Tidewater Regional Alternative Ed Project,,Ungraded,
23606,Enterprise Academy/Newport News City,,Ungraded,
24504,Lynchburg City Secondary Alternative,,Ungraded,
23220,Richmond Alternative School,,6-12,95
22603,N.W. (Northwestern) Regional Juvenile Detention Home,,Ungraded,
24112,Piedmont Gov. School For Math./Sci./Tech.,,Ungraded,
23416,Badger Voc Ed Center - North,,Ungraded,
23417,Badger Voc Ed Center - South,,Ungraded,
22204,Tech. Ed. & Career Center,,Ungraded,
22207,Stratford Program,,Ungraded,
24523,Science And Technology Center,,Ungraded,
24090,Botetourt Tech Educ Center,,Ungraded,
24201,Day Treatment Program,,Ungraded,
24614,Buchanan Co. Tech. & Career Center,,Ungraded,
24588,Campbell Co Tech  Center,,Ungraded,
24588,Cornerstone Learning Center,,Ungraded,
22903,Charlottesville Alternative School,,Ungraded,
23322,Chesapeake Center for Science & Technology,,Ungraded,
23325,Chesapeake Alternative School,,Ungraded,
23832,Chesterfield Tech,,Ungraded,
22307,Quander Road School,,Ungraded,
22030,Interagency Alt. Sec. Center,,Ungraded,
22042,Community Based Education,,Ungraded,
22306,Alc At Bryant,,Ungraded,
20121,Alc At Mountain View,,Ungraded,
22180,Cedar Lane Center,,Ungraded,
22043,Davis Vocational Center,,Ungraded,
22015,Burke School,,Ungraded,
22307,Pulley Vocational Center,,Ungraded,
22027,Secondary Head Start Centers,,Ungraded,
22728,Alternative Education Center,,Ungraded,
24134,Giles County Tech. Center,,Ungraded,
24348,Grayson Co. High Career & Tech. Ed.,,Ungraded,
22973,Greene Co. Technical Ed. Center,,Ungraded,
23075,Adult Education Center,,Ungraded,
23228,Hermitage Tech. Center,,Ungraded,
23075,Highland Springs Tech. Center,,Ungraded,
23860,Hopewell Isaep Center,,Ungraded,
24218,Lee County Career & Tech. Center,,Ungraded,
20175,C. S. Monroe Technology Center,,Ungraded,
20176,Douglass School,,Ungraded,
24504,Hutcherson Early Learning Center,,Ungraded,
20110,Joseph B. Johnson Learning Center,,Ungraded,
24073,Independence Secondary,,Ungraded,
23607,Peninsula Marine Institute,,Ungraded,
23608,Point Option Alternative School,,Ungraded,
23502,Norfolk Technical Center,,Ungraded,
23508,Madison,,Ungraded,
23405,The T.E.C.H. Center,,Ungraded,
22851,Page County Technical Center,,Ungraded,
24531,Pittsylvania Voc.-Tech. Center,,Ungraded,
23707,New Directions Center,,Ungraded,
23702,Cradock Technical & Career Center,,Ungraded,
23139,Powhatan Voc. Center,,Ungraded,
20112,Independent Hill,,Ungraded,
23230,Richmond Technical Center,,Ungraded,
23220,Richmond Acceleration Prgm.,,Ungraded,
23223,Pre-School Development Center,,Ungraded,
23227,Real Special Ed. Center,,Ungraded,
23227,Thirteen Acres Special Ed. Center,,Ungraded,
24153,Burton Center For Arts And Tech.,,Ungraded,
24266,Russell County Voc.,,Ungraded,
24251,Scott County Career and Technical Center,,Ungraded,
22842,Triplett Business & Tech.,,Ungraded,
24354,Smyth Co. Career & Tech. Center,,Ungraded,
22553,Spotsylvania Career And Tech. Center,,Ungraded,
23434,Turlington Woods Alternative School,,Ungraded,
24651,Tazewell Co. Career & Tech. Center,,Ungraded,
23452,Adult Learning Center,,Ungraded,
23456,Technical & Career Ed. Center,,Ungraded,
23453,Advanced Technology Center,,Ungraded,
24210,W.N. Neff Center  For Science And Technology,,Ungraded,
24293,Wise County Career-Technical Center,,Ungraded,
24293,Wise Co. Alternative Ed. Center,,Ungraded,
24382,Wythe County Tech Center,,Ungraded,
24541,Adult & Career  Education Center,,Ungraded,
23917,Alternative Education Center,,Ungraded,
24343,Carroll County Ed Center,,Ungraded,
22973,Alternative Education Center,,Ungraded,
20109,New Directions Alternative Ed Center,,Ungraded,
